station_id	station_name	lon	lat	altitude	station_type	x_coord	y_coord	record_status
04062	诺杜尔亚雷加	-18.370	63.510			-5197792.0000	11154031.0000	0
04063	阿克雷里	-18.070	65.690			-4927556.0000	11220060.0000	0
04064	基尔克尤拜雅克莱斯特	-18.060	63.790			-5159007.0000	11147829.0000	0
04065	格里姆塞岛	-18.010	66.540			-4821088.0000	11249745.0000	0
04066	弗萨利尔	-18.740	64.460			-5088893.5000	11208609.0000	0
04068		18.010	64.910			-4112907.0000	9468858.0000	0
04069	斯塔达霍尔	-17.190	65.830			-4896246.5000	11180867.0000	0
04072	法古尔霍斯米里	-16.640	63.890			-5123037.0000	11076279.0000	0
04073	格里姆斯塔济	-16.110	65.640			-4901812.5000	11118635.0000	0
04077	勒伊法赫本	-15.940	66.460			-4797942.5000	11143753.0000	0
04080	斯奈山	-15.620	64.810			-4994504.0000	11059776.0000	0
04081	瑟伊扎内斯	-15.260	66.260			-4811264.5000	11101675.0000	0
04082	阿克内斯	-15.210	64.310			-5047544.5000	11018041.0000	0
04085	斯恰辛斯塔济	-14.810	65.710			-4870994.0000	11055957.0000	0
04087	斯特兰赫本	-14.640	65.910			-4843580.5000	11055936.0000	0
04089	埃伊尔斯塔济	-14.390	65.290			-4914686.5000	11016892.0000	0
04094	努珀尔	-14.090	64.710			-4979281.5000	10976825.0000	0
04096		-13.840	64.810			-4962685.0000	10968282.0000	0
04097	达拉角	-13.570	65.280			-4901085.5000	10974911.0000	0
04101	比亚尔格角	-24.510	65.510			-5040610.5000	11545430.0000	0
04103	帕特雷克峡湾	-23.990	65.610			-5021564.0000	11521441.0000	0
04104	居菲斯考拉	-23.920	64.910			-5108032.5000	11496453.0000	0
04110		-38.790	72.290			-4243679.0000	12378345.0000	0
04115	丁扬迪黑迪	-23.070	65.710			-4997193.0000	11476979.0000	0
04119	辛格曼纳荒原	-22.790	65.640			-5002264.0000	11460289.0000	0
04120	格林达维克	-22.410	63.860			-5216986.5000	11383284.0000	0
04124	斯特勒伊姆维克	-22.320	64.060			-5191276.0000	11384843.0000	0
04126	格伦达登吉	-21.770	64.360			-5146743.0000	11365236.0000	0
04131	哲居尔	-21.340	65.990			-4938761.5000	11397480.0000	0
04140	索劳克斯赫本	-21.370	63.860			-5202060.5000	11327348.0000	0
04149	科尔卡	-19.710	65.410			-4987347.5000	11293613.0000	0
04154	布尔山	-19.720	64.090			-5149243.5000	11247062.0000	0
04160	素福沃尔	-18.590	64.590			-5070680.0000	11205537.0000	0
04161	达尔维克	-18.520	65.980			-4898671.0000	11253906.0000	0
04165	格利姆塞岛	-18.010	66.540			-4821088.0000	11249745.0000	0
04166	约屈尔赫马	-18.210	64.330			-5096191.0000	11175926.0000	0
04168	桑德布迪尔	-17.970	64.940			-5018059.0000	11186365.0000	0
04170	斯卡兹弗鲁维蒂	-17.970	63.530			-5188775.5000	11133325.0000	0
04175		43.910	65.110			-3085905.0000	8519268.0000	0
04180	华内里	-15.190	64.240			-5055587.5000	11014122.0000	0
04193	加恩荒原	-14.260	65.230			-4919630.0000	11007730.0000	0
04195		43.210	60.010			-3494126.5000	8032108.5000	0
04196	坎巴角	-13.840	64.810			-4962685.0000	10968282.0000	0
04197	达拉角	-13.570	65.280			-4901085.5000	10974911.0000	0
04200		68.810	76.510			-1320982.8750	9375975.0000	0
04202	皮图菲克（图勒航空基地）	-68.740	76.540			-3524910.7500	13544488.0000	0
04203	基茨苏特（卡雷岛）	-72.990	76.640			-3470988.2500	13694103.0000	0
04205		-69.370	77.490			-3369297.2500	13532287.0000	0
04207	霍尔兰德	-59.920	81.690			-2689338.5000	13102123.0000	0
04208	基茨索苏伊特	-57.810	74.040			-3977619.5000	13185057.0000	0
04210	乌佩纳维克	-56.160	72.790			-4168798.5000	13134433.0000	0
04211	乌佩纳维克（乌佩纳维克地区）	-56.120	72.790			-4168958.7500	13132711.0000	0
04212		-52.110	70.690			-4481123.5000	12975202.0000	0
04213		-52.690	70.740			-4472676.0000	13001630.0000	0
04215		52.010	70.010			-2383318.0000	8832516.0000	0
04216		51.110	69.210			-2477575.0000	8761563.0000	0
04217		-51.170	68.830			-4738994.5000	12942334.0000	0
04218		53.610	69.210			-2373936.0000	8698950.0000	0
04220	阿萨特/埃格瑟斯明讷	-52.840	68.710			-4751108.5000	13024961.0000	0
04221	伊卢利萨特（雅各布港）	-51.060	69.240			-4683524.5000	12934702.0000	0
04224	阿萨特（埃格瑟斯明讷地区）	-52.790	68.730			-4748552.0000	13022351.0000	0
04226		53.610	67.910			-2462668.0000	8547703.0000	0
04230	锡西米尤特/荷尔斯泰因斯堡	-53.660	66.930			-4985338.0000	13081115.0000	0
04231	坎杰尔鲁萨克（南斯特伦菲尤尔）	-50.690	67.030			-4980134.0000	12927636.0000	0
04234	锡西米尤特/荷尔斯泰因斯堡地区	-53.710	66.960			-4981227.0000	13083422.0000	0
04235		52.910	66.610			-2580951.0000	8418044.0000	0
04236		53.510	66.510			-2560726.2500	8390865.0000	0
04240		52.910	65.410			-2660733.0000	8284277.0000	0
04241	马尼措克/苏克托彭地区	-52.920	65.430			-5182573.0000	13054642.0000	0
04242		-52.540	65.030			-5235032.5000	13037165.0000	0
04246		52.210	64.810			-2732784.7500	8237840.0000	0
04247		51.110	64.510			-2803992.0000	8236693.5000	0
04250	努克（戈特霍布）	-51.740	64.180			-5345410.0000	12999049.0000	0
04251		52.110	64.010			-2790223.0000	8153798.0000	0
04252		51.610	63.710			-2833714.0000	8136013.0000	0
04253	乌基韦克（菲特烈斯霍布冰原）	-50.410	62.580			-5549025.5000	12932389.0000	0
04254	努克（戈特霍布地区）	-51.670	64.210			-5341794.5000	12995009.0000	0
04256		49.910	62.210			-3015036.7500	8028663.0000	0
04260		-49.660	62.010			-5620905.5000	12891249.0000	0
04261		-48.110	61.230			-5718446.0000	12802239.0000	0
04263		-48.440	61.190			-5723117.0000	12821786.0000	0
04264		49.410	61.610			-3079534.7500	7982125.5000	0
04266	努纳赫绥特	-48.410	60.780			-5773225.5000	12820666.0000	0
04270	纳萨尔苏瓦克	-45.420	61.160			-5726387.5000	12643272.0000	0
04272	卡科尔托克/尤利安娜霍布	-46.040	60.730			-5779432.0000	12679327.0000	0
04273		-46.020	60.730			-5779418.0000	12678134.0000	0
04274		-47.090	60.810			-5770057.0000	12741987.0000	0
04276		-45.990	60.560			-5800092.0000	12676097.0000	0
04280		-46.040	60.930			-5755038.5000	12679606.0000	0
04282		-45.540	60.460			-5811863.5000	12648949.0000	0
04283		-45.220	60.140			-5850330.0000	12628976.0000	0
04285	安吉索克	-45.190	59.990			-5868447.0000	12626797.0000	0
04286		44.710	59.910			-3427769.0000	7968741.0000	0
04301	莫里斯.杰塞普角	-33.360	83.660			-2287306.7500	12417623.0000	0
04305		-29.910	82.160			-2579369.5000	12281484.0000	0
04310	诺尔站	-16.640	81.610			-2594143.0000	11900226.0000	0
04311		16.710	81.610			-2156591.5000	11074186.0000	0
04312	诺尔站，自动气象站	-16.670	81.610			-2594404.7500	11901030.0000	0
04313	亨里克-克罗艾厄/霍尔默	-13.710	80.660			-2736241.5000	11761432.0000	0
04320	丹麦港	-18.660	76.780			-3422206.7500	11708856.0000	0
04330	达讷堡	-20.210	74.310			-3808957.7500	11657940.0000	0
04331		20.310	74.310			-3038717.2500	10204371.0000	0
04338		23.910	72.210			-3172388.2500	9885708.0000	0
04339	伊托科尔托米特（斯科斯比松）	-21.940	70.490			-4362918.0000	11583637.0000	0
04340		-21.960	70.430			-4371240.0000	11582388.0000	0
04341	涅尔勒里特-伊纳特（康斯特布尔角）	-22.640	70.760			-4334651.5000	11624648.0000	0
04350		-32.290	67.790			-4825462.5000	11999373.0000	0
04351		-32.290	67.790			-4825462.5000	11999373.0000	0
04360	塔西拉克（阿马萨利克）	-37.620	65.610			-5143598.5000	12237835.0000	0
04361	库卢苏克角	-37.120	65.580			-5144760.5000	12210890.0000	0
04365		37.210	65.510			-3337502.2500	8781995.0000	0
04368		38.910	65.410			-3275552.2500	8714035.0000	0
04373	伊凯尔米伊特	-40.290	64.790			-5260632.0000	12372349.0000	0
04380		42.210	62.510			-3357624.7500	8312641.0000	0
04381		-42.070	61.940			-5623702.0000	12450343.0000	0
04382	伊凯尔米阿尔苏克	-42.060	61.940			-5623671.5000	12449763.0000	0
04385		42.210	61.510			-3432200.7500	8214184.5000	0
04390	克里斯琴王子湾	-43.160	60.060			-5856209.0000	12504190.0000	0
04416	萨米特	-38.440	72.590			-4199022.0000	12366916.0000	0
06005	米基内斯	-7.670	62.110			-5150858.5000	10521544.0000	0
06009	阿克拉贝格	-6.660	61.410			-5206188.0000	10432955.0000	0
